Sample,Quadrat,Type,Time,QuadratxType
G1_1_1_Notothylas_JNP1,Grossman1,Notothylas,T1,Grossman1_Notothylas
G1_1_2_Notothylas_JNP1,Grossman1,Notothylas,T1,Grossman1_Notothylas
G1_1_3_Notothylas_JNP2,Grossman1,Notothylas,T1,Grossman1_Notothylas
G1_1_4_Notothylas_JNP2,Grossman1,Notothylas,T1,Grossman1_Notothylas
G1_1_5_soil_JNP1,Grossman1,soil,T1,Grossman1_soil
G1_1_6_soil_JNP1,Grossman1,soil,T1,Grossman1_soil
G1_1_7_soil_JNP2,Grossman1,soil,T1,Grossman1_soil
G1_1_8_soil_JNP2,Grossman1,soil,T1,Grossman1_soil
G1_2_1_Notothylas_JNP1,Grossman2,Notothylas,T1,Grossman2_Notothylas
G1_2_2_Notothylas_JNP1,Grossman2,Notothylas,T1,Grossman2_Notothylas
G1_2_3_Notothylas_JNP2,Grossman2,Notothylas,T1,Grossman2_Notothylas
G1_2_4_Notothylas_JNP2,Grossman2,Notothylas,T1,Grossman2_Notothylas
G1_2_5_soil_JNP1,Grossman2,soil,T1,Grossman2_soil
G1_2_6_soil_JNP1,Grossman2,soil,T1,Grossman2_soil
G1_2_7_soil_JNP2,Grossman2,soil,T1,Grossman2_soil
G1_2_8_soil_JNP2,Grossman2,soil,T1,Grossman2_soil
G2_1_1_Notothylas_JNP1,Grossman1,Notothylas,T2,Grossman1_Notothylas
G2_1_2_Notothylas_JNP1,Grossman1,Notothylas,T2,Grossman1_Notothylas
G2_1_3_Notothylas_JNP2,Grossman1,Notothylas,T2,Grossman1_Notothylas
G2_1_4_Notothylas_JNP3,Grossman1,Notothylas,T2,Grossman1_Notothylas
G2_1_5_soil_JNP1,Grossman1,soil,T2,Grossman1_soil
G2_1_6_soil_JNP1,Grossman1,soil,T2,Grossman1_soil
G2_1_7_soil_JNP2,Grossman1,soil,T2,Grossman1_soil
G2_1_8_soil_JNP3,Grossman1,soil,T2,Grossman1_soil
G2_2_1_Notothylas_JNP1,Grossman2,Notothylas,T2,Grossman2_Notothylas
G2_2_2_Notothylas_JNP1,Grossman2,Notothylas,T2,Grossman2_Notothylas
G2_2_3_Notothylas_JNP2,Grossman2,Notothylas,T2,Grossman2_Notothylas
G2_2_4_Notothylas_JNP3,Grossman2,Notothylas,T2,Grossman2_Notothylas
G2_2_5_soil_JNP1,Grossman2,soil,T2,Grossman2_soil
G2_2_6_soil_JNP1,Grossman2,soil,T2,Grossman2_soil
G2_2_7_soil_JNP2,Grossman2,soil,T2,Grossman2_soil
G2_2_8_soil_JNP3,Grossman2,soil,T2,Grossman2_soil
G3_1_1_Notothylas_JNP1,Grossman1,Notothylas,T3,Grossman1_Notothylas
G3_1_2_Notothylas_JNP1,Grossman1,Notothylas,T3,Grossman1_Notothylas
G3_1_3_Notothylas_JNP2,Grossman1,Notothylas,T3,Grossman1_Notothylas
G3_1_4_Notothylas_JNP3,Grossman1,Notothylas,T3,Grossman1_Notothylas
G3_1_5_soil_JNP1,Grossman1,soil,T3,Grossman1_soil
G3_1_6_soil_JNP2,Grossman1,soil,T3,Grossman1_soil
G3_1_7_soil_JNP2,Grossman1,soil,T3,Grossman1_soil
G3_1_8_soil_JNP3,Grossman1,soil,T3,Grossman1_soil
G3_2_1_Notothylas_JNP1,Grossman2,Notothylas,T3,Grossman2_Notothylas
G3_2_2_Notothylas_JNP2,Grossman2,Notothylas,T3,Grossman2_Notothylas
G3_2_3_Notothylas_JNP2,Grossman2,Notothylas,T3,Grossman2_Notothylas
G3_2_4_Notothylas_JNP3,Grossman2,Notothylas,T3,Grossman2_Notothylas
G3_2_5_soil_JNP1,Grossman2,soil,T3,Grossman2_soil
G3_2_6_soil_JNP2,Grossman2,soil,T3,Grossman2_soil
G3_2_7_soil_JNP2,Grossman2,soil,T3,Grossman2_soil
G3_2_8_soil_JNP3,Grossman2,soil,T3,Grossman2_soil
G4_1_1_Notothylas_JNP1,Grossman1,Notothylas,T4,Grossman1_Notothylas
G4_1_2_Notothylas_JNP2,Grossman1,Notothylas,T4,Grossman1_Notothylas
G4_1_3_Notothylas_JNP2,Grossman1,Notothylas,T4,Grossman1_Notothylas
G4_1_4_Notothylas_JNP3,Grossman1,Notothylas,T4,Grossman1_Notothylas
G4_1_5_soil_JNP1,Grossman1,soil,T4,Grossman1_soil
G4_1_6_soil_JNP2,Grossman1,soil,T4,Grossman1_soil
G4_1_7_soil_JNP2,Grossman1,soil,T4,Grossman1_soil
G4_1_8_soil_JNP3,Grossman1,soil,T4,Grossman1_soil
P1_1_1_Phaeoceros_JNP1,Potato1,Phaeoceros,T1,Potato1_Phaeoceros
P1_1_10_Notothylas_JNP1,Potato1,Notothylas,T1,Potato1_Notothylas
P1_1_11_Notothylas_JNP2,Potato1,Notothylas,T1,Potato1_Notothylas
P1_1_12_Notothylas_JNP3,Potato1,Notothylas,T1,Potato1_Notothylas
P1_1_13_soil_JNP1,Potato1,soil,T1,Potato1_soil
P1_1_14_soil_JNP1,Potato1,soil,T1,Potato1_soil
P1_1_15_soil_JNP2,Potato1,soil,T1,Potato1_soil
P1_1_16_soil_JNP3,Potato1,soil,T1,Potato1_soil
P1_1_2_Phaeoceros_JNP1,Potato1,Phaeoceros,T1,Potato1_Phaeoceros
P1_1_3_Phaeoceros_JNP2,Potato1,Phaeoceros,T1,Potato1_Phaeoceros
P1_1_4_Phaeoceros_JNP2,Potato1,Phaeoceros,T1,Potato1_Phaeoceros
P1_1_5_Anthoceros_JNP1,Potato1,Anthoceros,T1,Potato1_Anthoceros
P1_1_6_Anthoceros_JNP1,Potato1,Anthoceros,T1,Potato1_Anthoceros
P1_1_7_Anthoceros_JNP2,Potato1,Anthoceros,T1,Potato1_Anthoceros
P1_1_8_Anthoceros_JNP3,Potato1,Anthoceros,T1,Potato1_Anthoceros
P1_1_9_Notothylas_JNP1,Potato1,Notothylas,T1,Potato1_Notothylas
P1_2_1_Phaeoceros_JNP1,Potato2,Phaeoceros,T1,Potato2_Phaeoceros
P1_2_10_Notothylas_JNP1,Potato2,Notothylas,T1,Potato2_Notothylas
P1_2_11_Notothylas_JNP2,Potato2,Notothylas,T1,Potato2_Notothylas
P1_2_12_Notothylas_JNP3,Potato2,Notothylas,T1,Potato2_Notothylas
P1_2_13_soil_JNP1,Potato2,soil,T1,Potato2_soil
P1_2_14_soil_JNP1,Potato2,soil,T1,Potato2_soil
P1_2_15_soil_JNP2,Potato2,soil,T1,Potato2_soil
P1_2_16_soil_JNP3,Potato2,soil,T1,Potato2_soil
P1_2_2_Phaeoceros_JNP1,Potato2,Phaeoceros,T1,Potato2_Phaeoceros
P1_2_3_Phaeoceros_JNP2,Potato2,Phaeoceros,T1,Potato2_Phaeoceros
P1_2_4_Phaeoceros_JNP3,Potato2,Phaeoceros,T1,Potato2_Phaeoceros
P1_2_5_Anthoceros_JNP1,Potato2,Anthoceros,T1,Potato2_Anthoceros
P1_2_6_Anthoceros_JNP1,Potato2,Anthoceros,T1,Potato2_Anthoceros
P1_2_7_Anthoceros_JNP2,Potato2,Anthoceros,T1,Potato2_Anthoceros
P1_2_8_Anthoceros_JNP3,Potato2,Anthoceros,T1,Potato2_Anthoceros
P1_2_9_Notothylas_JNP1,Potato2,Notothylas,T1,Potato2_Notothylas
P1_3_1_Phaeoceros_JNP1,Potato3,Phaeoceros,T1,Potato3_Phaeoceros
P1_3_10_Notothylas_JNP1,Potato3,Notothylas,T1,Potato3_Notothylas
P1_3_11_Notothylas_JNP2,Potato3,Notothylas,T1,Potato3_Notothylas
P1_3_12_Notothylas_JNP3,Potato3,Notothylas,T1,Potato3_Notothylas
P1_3_13_soil_JNP1,Potato3,soil,T1,Potato3_soil
P1_3_14_soil_JNP1,Potato3,soil,T1,Potato3_soil
P1_3_15_soil_JNP2,Potato3,soil,T1,Potato3_soil
P1_3_16_soil_JNP3,Potato3,soil,T1,Potato3_soil
P1_3_2_Phaeoceros_JNP1,Potato3,Phaeoceros,T1,Potato3_Phaeoceros
P1_3_3_Phaeoceros_JNP2,Potato3,Phaeoceros,T1,Potato3_Phaeoceros
P1_3_4_Phaeoceros_JNP3,Potato3,Phaeoceros,T1,Potato3_Phaeoceros
P1_3_5_Anthoceros_JNP1,Potato3,Anthoceros,T1,Potato3_Anthoceros
P1_3_6_Anthoceros_JNP1,Potato3,Anthoceros,T1,Potato3_Anthoceros
P1_3_7_Anthoceros_JNP2,Potato3,Anthoceros,T1,Potato3_Anthoceros
P1_3_8_Anthoceros_JNP3,Potato3,Anthoceros,T1,Potato3_Anthoceros
P1_3_9_Notothylas_JNP1,Potato3,Notothylas,T1,Potato3_Notothylas
P2_1_1_Phaeoceros_JNP1,Potato1,Phaeoceros,T2,Potato1_Phaeoceros
P2_1_10_Notothylas_JNP1,Potato1,Notothylas,T2,Potato1_Notothylas
P2_1_11_Notothylas_JNP2,Potato1,Notothylas,T2,Potato1_Notothylas
P2_1_12_Notothylas_JNP3,Potato1,Notothylas,T2,Potato1_Notothylas
P2_1_13_soil_JNP1,Potato1,soil,T2,Potato1_soil
P2_1_14_soil_JNP1,Potato1,soil,T2,Potato1_soil
P2_1_15_soil_JNP2,Potato1,soil,T2,Potato1_soil
P2_1_16_soil_JNP3,Potato1,soil,T2,Potato1_soil
P2_1_2_Phaeoceros_JNP1,Potato1,Phaeoceros,T2,Potato1_Phaeoceros
P2_1_3_Phaeoceros_JNP2,Potato1,Phaeoceros,T2,Potato1_Phaeoceros
P2_1_4_Phaeoceros_JNP3,Potato1,Phaeoceros,T2,Potato1_Phaeoceros
P2_1_5_Anthoceros_JNP1,Potato1,Anthoceros,T2,Potato1_Anthoceros
P2_1_6_Anthoceros_JNP1,Potato1,Anthoceros,T2,Potato1_Anthoceros
P2_1_7_Anthoceros_JNP2,Potato1,Anthoceros,T2,Potato1_Anthoceros
P2_1_8_Anthoceros_JNP3,Potato1,Anthoceros,T2,Potato1_Anthoceros
P2_1_9_Notothylas_JNP1,Potato1,Notothylas,T2,Potato1_Notothylas
P2_2_1_Phaeoceros_JNP1,Potato2,Phaeoceros,T2,Potato2_Phaeoceros
P2_2_10_Notothylas_JNP1,Potato2,Notothylas,T2,Potato2_Notothylas
P2_2_11_Notothylas_JNP2,Potato2,Notothylas,T2,Potato2_Notothylas
P2_2_12_Notothylas_JNP3,Potato2,Notothylas,T2,Potato2_Notothylas
P2_2_13_soil_JNP1,Potato2,soil,T2,Potato2_soil
P2_2_14_soil_JNP1,Potato2,soil,T2,Potato2_soil
P2_2_15_soil_JNP2,Potato2,soil,T2,Potato2_soil
P2_2_16_soil_JNP3,Potato2,soil,T2,Potato2_soil
P2_2_2_Phaeoceros_JNP1,Potato2,Phaeoceros,T2,Potato2_Phaeoceros
P2_2_3_Phaeoceros_JNP2,Potato2,Phaeoceros,T2,Potato2_Phaeoceros
P2_2_4_Phaeoceros_JNP3,Potato2,Phaeoceros,T2,Potato2_Phaeoceros
P2_2_5_Anthoceros_JNP1,Potato2,Anthoceros,T2,Potato2_Anthoceros
P2_2_6_Anthoceros_JNP1,Potato2,Anthoceros,T2,Potato2_Anthoceros
P2_2_7_Anthoceros_JNP2,Potato2,Anthoceros,T2,Potato2_Anthoceros
P2_2_8_Anthoceros_JNP3,Potato2,Anthoceros,T2,Potato2_Anthoceros
P2_2_9_Notothylas_JNP1,Potato2,Notothylas,T2,Potato2_Notothylas
P2_3_1_Phaeoceros_JNP1,Potato3,Phaeoceros,T2,Potato3_Phaeoceros
P2_3_10_Notothylas_JNP1,Potato3,Notothylas,T2,Potato3_Notothylas
P2_3_11_Notothylas_JNP2,Potato3,Notothylas,T2,Potato3_Notothylas
P2_3_12_Notothylas_JNP3,Potato3,Notothylas,T2,Potato3_Notothylas
P2_3_13_soil_JNP1,Potato3,soil,T2,Potato3_soil
P2_3_14_soil_JNP1,Potato3,soil,T2,Potato3_soil
P2_3_15_soil_JNP2,Potato3,soil,T2,Potato3_soil
P2_3_16_soil_JNP3,Potato3,soil,T2,Potato3_soil
P2_3_2_Phaeoceros_JNP1,Potato3,Phaeoceros,T2,Potato3_Phaeoceros
P2_3_3_Phaeoceros_JNP2,Potato3,Phaeoceros,T2,Potato3_Phaeoceros
P2_3_4_Phaeoceros_JNP3,Potato3,Phaeoceros,T2,Potato3_Phaeoceros
P2_3_5_Anthoceros_JNP1,Potato3,Anthoceros,T2,Potato3_Anthoceros
P2_3_6_Anthoceros_JNP1,Potato3,Anthoceros,T2,Potato3_Anthoceros
P2_3_7_Anthoceros_JNP2,Potato3,Anthoceros,T2,Potato3_Anthoceros
P2_3_8_Anthoceros_JNP3,Potato3,Anthoceros,T2,Potato3_Anthoceros
P2_3_9_Notothylas_JNP1,Potato3,Notothylas,T2,Potato3_Notothylas
P3_1_1_Phaeoceros_JNP1,Potato1,Phaeoceros,T3,Potato1_Phaeoceros
P3_1_10_Notothylas_JNP2,Potato1,Notothylas,T3,Potato1_Notothylas
P3_1_11_Notothylas_JNP2,Potato1,Notothylas,T3,Potato1_Notothylas
P3_1_12_Notothylas_JNP3,Potato1,Notothylas,T3,Potato1_Notothylas
P3_1_13_soil_JNP1,Potato1,soil,T3,Potato1_soil
P3_1_14_soil_JNP2,Potato1,soil,T3,Potato1_soil
P3_1_15_soil_JNP2,Potato1,soil,T3,Potato1_soil
P3_1_16_soil_JNP3,Potato1,soil,T3,Potato1_soil
P3_1_2_Phaeoceros_JNP2,Potato1,Phaeoceros,T3,Potato1_Phaeoceros
P3_1_3_Phaeoceros_JNP2,Potato1,Phaeoceros,T3,Potato1_Phaeoceros
P3_1_4_Phaeoceros_JNP3,Potato1,Phaeoceros,T3,Potato1_Phaeoceros
P3_1_5_Anthoceros_JNP1,Potato1,Anthoceros,T3,Potato1_Anthoceros
P3_1_6_Anthoceros_JNP2,Potato1,Anthoceros,T3,Potato1_Anthoceros
P3_1_7_Anthoceros_JNP2,Potato1,Anthoceros,T3,Potato1_Anthoceros
P3_1_8_Anthoceros_JNP3,Potato1,Anthoceros,T3,Potato1_Anthoceros
P3_1_9_Notothylas_JNP1,Potato1,Notothylas,T3,Potato1_Notothylas
P3_2_1_Phaeoceros_JNP1,Potato2,Phaeoceros,T3,Potato2_Phaeoceros
P3_2_10_Notothylas_JNP2,Potato2,Notothylas,T3,Potato2_Notothylas
P3_2_11_Notothylas_JNP2,Potato2,Notothylas,T3,Potato2_Notothylas
P3_2_12_Notothylas_JNP3,Potato2,Notothylas,T3,Potato2_Notothylas
P3_2_13_soil_JNP1,Potato2,soil,T3,Potato2_soil
P3_2_14_soil_JNP2,Potato2,soil,T3,Potato2_soil
P3_2_15_soil_JNP2,Potato2,soil,T3,Potato2_soil
P3_2_16_soil_JNP3,Potato2,soil,T3,Potato2_soil
P3_2_2_Phaeoceros_JNP2,Potato2,Phaeoceros,T3,Potato2_Phaeoceros
P3_2_3_Phaeoceros_JNP2,Potato2,Phaeoceros,T3,Potato2_Phaeoceros
P3_2_4_Phaeoceros_JNP3,Potato2,Phaeoceros,T3,Potato2_Phaeoceros
P3_2_5_Anthoceros_JNP1,Potato2,Anthoceros,T3,Potato2_Anthoceros
P3_2_6_Anthoceros_JNP2,Potato2,Anthoceros,T3,Potato2_Anthoceros
P3_2_7_Anthoceros_JNP2,Potato2,Anthoceros,T3,Potato2_Anthoceros
P3_2_8_Anthoceros_JNP3,Potato2,Anthoceros,T3,Potato2_Anthoceros
P3_2_9_Notothylas_JNP1,Potato2,Notothylas,T3,Potato2_Notothylas
P3_3_1_Phaeoceros_JNP1,Potato3,Phaeoceros,T3,Potato3_Phaeoceros
P3_3_10_Notothylas_JNP2,Potato3,Notothylas,T3,Potato3_Notothylas
P3_3_11_Notothylas_JNP2,Potato3,Notothylas,T3,Potato3_Notothylas
P3_3_12_Notothylas_JNP3,Potato3,Notothylas,T3,Potato3_Notothylas
P3_3_13_soil_JNP1,Potato3,soil,T3,Potato3_soil
P3_3_14_soil_JNP2,Potato3,soil,T3,Potato3_soil
P3_3_15_soil_JNP2,Potato3,soil,T3,Potato3_soil
P3_3_16_soil_JNP3,Potato3,soil,T3,Potato3_soil
P3_3_2_Phaeoceros_JNP2,Potato3,Phaeoceros,T3,Potato3_Phaeoceros
P3_3_3_Phaeoceros_JNP2,Potato3,Phaeoceros,T3,Potato3_Phaeoceros
P3_3_4_Phaeoceros_JNP3,Potato3,Phaeoceros,T3,Potato3_Phaeoceros
P3_3_5_Anthoceros_JNP1,Potato3,Anthoceros,T3,Potato3_Anthoceros
P3_3_6_Anthoceros_JNP2,Potato3,Anthoceros,T3,Potato3_Anthoceros
P3_3_7_Anthoceros_JNP2,Potato3,Anthoceros,T3,Potato3_Anthoceros
P3_3_8_Anthoceros_JNP3,Potato3,Anthoceros,T3,Potato3_Anthoceros
P3_3_9_Notothylas_JNP1,Potato3,Notothylas,T3,Potato3_Notothylas
P4_1_1_Phaeoceros_JNP1,Potato1,Phaeoceros,T4,Potato1_Phaeoceros
P4_1_13_soil_JNP1,Potato1,soil,T4,Potato1_soil
P4_1_14_soil_JNP2,Potato1,soil,T4,Potato1_soil
P4_1_15_soil_JNP2,Potato1,soil,T4,Potato1_soil
P4_1_16_soil_JNP3,Potato1,soil,T4,Potato1_soil
P4_1_2_Phaeoceros_JNP2,Potato1,Phaeoceros,T4,Potato1_Phaeoceros
P4_1_3_Phaeoceros_JNP2,Potato1,Phaeoceros,T4,Potato1_Phaeoceros
P4_1_4_Phaeoceros_JNP3,Potato1,Phaeoceros,T4,Potato1_Phaeoceros
P4_1_5_Anthoceros_JNP1,Potato1,Anthoceros,T4,Potato1_Anthoceros
P4_1_6_Anthoceros_JNP2,Potato1,Anthoceros,T4,Potato1_Anthoceros
P4_1_7_Anthoceros_JNP2,Potato1,Anthoceros,T4,Potato1_Anthoceros
P4_1_8_Anthoceros_JNP3,Potato1,Anthoceros,T4,Potato1_Anthoceros
P4_2_1_Phaeoceros_JNP1,Potato2,Phaeoceros,T4,Potato2_Phaeoceros
P4_2_10_Notothylas_JNP2,Potato2,Notothylas,T4,Potato2_Notothylas
P4_2_11_Notothylas_JNP2,Potato2,Notothylas,T4,Potato2_Notothylas
P4_2_12_Notothylas_JNP3,Potato2,Notothylas,T4,Potato2_Notothylas
P4_2_13_soil_JNP1,Potato2,soil,T4,Potato2_soil
P4_2_14_soil_JNP2,Potato2,soil,T4,Potato2_soil
P4_2_15_soil_JNP2,Potato2,soil,T4,Potato2_soil
P4_2_16_soil_JNP3,Potato2,soil,T4,Potato2_soil
P4_2_2_Phaeoceros_JNP2,Potato2,Phaeoceros,T4,Potato2_Phaeoceros
P4_2_3_Phaeoceros_JNP2,Potato2,Phaeoceros,T4,Potato2_Phaeoceros
P4_2_4_Phaeoceros_JNP3,Potato2,Phaeoceros,T4,Potato2_Phaeoceros
P4_2_5_Anthoceros_JNP1,Potato2,Anthoceros,T4,Potato2_Anthoceros
P4_2_6_Anthoceros_JNP2,Potato2,Anthoceros,T4,Potato2_Anthoceros
P4_2_7_Anthoceros_JNP2,Potato2,Anthoceros,T4,Potato2_Anthoceros
P4_2_8_Anthoceros_JNP3,Potato2,Anthoceros,T4,Potato2_Anthoceros
P4_2_9_Notothylas_JNP1,Potato2,Notothylas,T4,Potato2_Notothylas
P4_3_1_Phaeoceros_JNP1,Potato3,Phaeoceros,T4,Potato3_Phaeoceros
P4_3_10_Notothylas_JNP2,Potato3,Notothylas,T4,Potato3_Notothylas
P4_3_11_Notothylas_JNP2,Potato3,Notothylas,T4,Potato3_Notothylas
P4_3_12_Notothylas_JNP3,Potato3,Notothylas,T4,Potato3_Notothylas
P4_3_13_soil_JNP1,Potato3,soil,T4,Potato3_soil
P4_3_14_soil_JNP2,Potato3,soil,T4,Potato3_soil
P4_3_15_soil_JNP2,Potato3,soil,T4,Potato3_soil
P4_3_16_soil_JNP3,Potato3,soil,T4,Potato3_soil
P4_3_2_Phaeoceros_JNP2,Potato3,Phaeoceros,T4,Potato3_Phaeoceros
P4_3_3_Phaeoceros_JNP2,Potato3,Phaeoceros,T4,Potato3_Phaeoceros
P4_3_4_Phaeoceros_JNP3,Potato3,Phaeoceros,T4,Potato3_Phaeoceros
P4_3_5_Anthoceros_JNP1,Potato3,Anthoceros,T4,Potato3_Anthoceros
P4_3_6_Anthoceros_JNP2,Potato3,Anthoceros,T4,Potato3_Anthoceros
P4_3_7_Anthoceros_JNP2,Potato3,Anthoceros,T4,Potato3_Anthoceros
P4_3_8_Anthoceros_JNP3,Potato3,Anthoceros,T4,Potato3_Anthoceros
P4_3_9_Notothylas_JNP1,Potato3,Notothylas,T4,Potato3_Notothylas